(313.91128734279414, 1.7281280363472433)
(314.962291133524, 2.7791318270770944)
(316.0132949242537, 4.8811394085367965)
(319.16630629644317, 6.983146989996385)
(322.3193176686326, 8.034150780726236)
(325.47232904082216, 6.983146989996385)
(328.6253404130116, 6.983146989996385)
(331.77835178520104, 6.983146989996385)
(334.9313631573905, 6.983146989996385)
(339.13537832030977, 6.983146989996385)
(344.3903972739588, 6.983146989996385)
(347.54340864614824, 6.983146989996385)
(349.64541622760794, 6.983146989996385)
(352.7984275997974, 6.983146989996385)
(358.0534465534464, 6.983146989996385)
(361.20645792563596, 9.085154571455973)
(363.30846550709555, 13.289169734375264)
(363.30846550709555, 17.493184897294555)
(364.3594692978254, 20.646196269483994)
(366.461476879285, 23.799207641673433)
(369.6144882514744, 24.850211432403285)
(373.8185034143937, 24.850211432403285)
(378.022518577313, 24.850211432403285)
(383.27753753096204, 24.850211432403285)
(386.4305489031516, 22.748203850943696)
(390.63456406607077, 19.595192478754143)
(392.73657164753047, 16.442181106564703)
(397.9915906011795, 15.391177315834966)
(402.1956057640988, 13.289169734375264)
(407.4506247177479, 13.289169734375264)
(411.6546398806672, 13.289169734375264)
(416.90965883431625, 13.289169734375264)
(423.2156815786951, 12.238165943645527)
(427.4196967416144, 14.340173525105115)
(431.6237119045337, 16.442181106564703)
(435.827727067453, 17.493184897294555)
(438.98073843964244, 17.493184897294555)
(443.1847536025617, 20.646196269483994)
(445.2867611840213, 24.850211432403285)
(443.1847536025617, 29.054226595322575)
(438.98073843964244, 31.156234176782164)
(433.7257194859933, 32.207237967512015)
(429.5217043230741, 32.207237967512015)
(425.3176891601548, 32.207237967512015)
(417.9606626250461, 32.207237967512015)
(412.70564367139696, 32.207237967512015)
(408.50162850847767, 32.207237967512015)
(404.2976133455585, 34.3092455489716)
(399.04259439190935, 37.462256921161156)
(392.73657164753047, 40.615268293350596)
(388.5325564846112, 43.768279665540035)
(387.4815526938813, 47.972294828459326)
(390.63456406607077, 52.1763099913785)
(395.8895830197199, 54.278317572838205)
(401.14460197336894, 55.329321363568056)
(405.3486171362882, 57.431328945027644)
(410.60363608993737, 58.482332735757495)
(413.7566474621268, 61.635344107946935)
(420.0626702065057, 63.73735168940652)
(421.11367399723554, 68.99237064305566)
(419.01166641577595, 72.1453820152451)
(415.8586550435864, 76.3493971781644)
(412.70564367139696, 80.55341234108369)
(410.60363608993737, 82.65541992254327)
(409.5526322992075, 88.96144266692215)
(414.80765125285666, 91.06345024838186)
(419.01166641577595, 92.11445403911159)
(424.266685369425, 95.26746541130115)
(427.4196967416144, 97.36947299276073)
(432.67471569526356, 100.52248436495017)
(438.98073843964244, 102.62449194640976)
(442.1337498118319, 104.72649952786946)
(447.388768765481, 106.82850710932905)
(451.5927839284002, 108.93051469078875)
(457.8988066727792, 113.13452985370805)
(463.1538256264282, 113.13452985370805)
(467.3578407893475, 114.18553364443778)
(472.61285974299665, 116.28754122589748)
(478.9188824873755, 119.44055259808692)
(486.27590902248426, 120.49155638881678)
(490.47992418540355, 123.64456776100621)
(494.6839393483227, 125.7465753424658)
(498.887954511242, 126.79757913319565)
(503.0919696741613, 129.9505905053851)
(508.34698862781045, 131.00159429611494)
(512.5510037907296, 135.20560945903412)
(516.755018953649, 136.25661324976397)
(519.9080303258385, 139.4096246219534)
(522.0100379072979, 143.6136397848727)
(524.1120454887576, 147.817654947792)
(523.0610416980279, 152.02167011071128)
(516.755018953649, 152.02167011071128)
(508.34698862781045, 152.02167011071128)
(500.9899620927017, 152.02167011071128)
(487.326912813214, 147.817654947792)
(482.07189385956497, 150.97066631998143)
(470.51085216153695, 150.97066631998143)
(462.10282183569836, 150.97066631998143)
(453.6947915098599, 148.86865873852184)
(442.1337498118319, 148.86865873852184)
(434.77672327672315, 148.86865873852184)
(424.266685369425, 152.02167011071128)
(417.9606626250461, 152.02167011071128)
(410.60363608993737, 152.02167011071128)
(405.3486171362882, 152.02167011071128)
(399.04259439190935, 154.12367769217087)
(392.73657164753047, 157.2766890643603)
(388.5325564846112, 159.37869664582)
(378.022518577313, 159.37869664582)
(368.5634844607447, 162.53170801800945)
(364.3594692978254, 162.53170801800945)
(359.10445034417626, 166.73572318092874)
(352.7984275997974, 169.88873455311818)
(344.3903972739588, 171.99074213457777)
(337.03337073885007, 177.2457610882269)
(331.77835178520104, 181.4497762511462)
(328.6253404130116, 187.75579899552508)
(324.4213252500923, 190.90881036771452)
(318.11530250571343, 198.26583690282325)
(316.0132949242537, 205.62286343793198)
(316.0132949242537, 209.82687860085127)
(316.0132949242537, 217.18390513596)
(316.0132949242537, 222.43892408960903)
(317.0642987149836, 230.8469544154476)
(323.37032145936246, 237.1529771598265)
(323.37032145936246, 240.30598853201593)
(327.57433662228175, 243.45899990420537)
(332.8293555759309, 247.66301506712466)
(339.13537832030977, 251.86703023004395)
(345.44140106468865, 256.07104539296324)
(351.7474238090675, 260.27506055588253)
(357.00244276271667, 264.4790757188018)
(363.30846550709555, 267.63208709099126)
(371.71649583293413, 273.93810983537014)
(380.1245261587726, 278.14212499828943)
(386.4305489031516, 280.244132579749)
(395.8895830197199, 282.3461401612087)
(405.3486171362882, 288.6521629055876)
(412.70564367139696, 290.7541704870472)
(417.9606626250461, 297.0601932314262)
(424.266685369425, 302.3152121850752)
(428.47070053234427, 304.4172197665349)
(435.827727067453, 306.5192273479945)
(444.23575739329146, 309.67223872018394)
(448.43977255621076, 313.87625388310323)
(456.84780288204934, 313.87625388310323)
(462.10282183569836, 314.9272576738331)
(468.40884458007736, 318.0802690460225)
